,RootMyc1,YawBrMyp,YawBrMzp
case_36_optimal_k_cases_turbsim_ref_outdata_36.mat,187595.27509502816,36255.56567219026,240411.45413192283
case_214_optimal_k_cases_turbsim_ref_outdata_214.mat,148712.1324966191,11208.078786659578,48368.47024695552
case_384_optimal_k_cases_turbsim_ref_outdata_384.mat,208768.59961433703,40953.05170928859,274385.5179421667
case_169_optimal_k_cases_turbsim_ref_outdata_169.mat,139753.8668558504,4428.50335376427,29669.745725611494
case_401_optimal_k_cases_turbsim_ref_outdata_401.mat,147132.81841003292,6277.228056897643,48637.08974616795
case_54_optimal_k_cases_turbsim_ref_outdata_54.mat,165964.2814575688,35492.64686865836,206051.03969212683
case_122_optimal_k_cases_turbsim_ref_outdata_122.mat,154525.62412984835,11295.747059760248,46170.90171649866
case_157_optimal_k_cases_turbsim_ref_outdata_157.mat,142951.94233770933,5710.926381469411,34871.73725128746
case_329_optimal_k_cases_turbsim_ref_outdata_329.mat,144152.73245529516,11226.991712067796,35691.73964213701
case_362_optimal_k_cases_turbsim_ref_outdata_362.mat,161696.55409442756,11012.7874612883,55190.98339151553
case_317_optimal_k_cases_turbsim_ref_outdata_317.mat,142709.8916712973,10877.419247270625,38022.778374107875
case_287_optimal_k_cases_turbsim_ref_outdata_287.mat,154042.6799245905,6794.937234391778,51141.640182322124
case_389_optimal_k_cases_turbsim_ref_outdata_389.mat,151113.84307657433,11840.635947868192,45607.551054628704
case_219_optimal_k_cases_turbsim_ref_outdata_219.mat,186402.369650492,40559.701080415645,242642.05762384692
case_252_optimal_k_cases_turbsim_ref_outdata_252.mat,151625.7615237992,30208.908001298503,174805.630085819
case_227_optimal_k_cases_turbsim_ref_outdata_227.mat,142710.93279825736,10877.489336272396,38023.665377335186
case_43_optimal_k_cases_turbsim_ref_outdata_43.mat,148034.79926706746,6185.988728513464,42245.18568564886
case_21_optimal_k_cases_turbsim_ref_outdata_21.mat,211337.51796341207,40227.27189232089,272307.30589244846
case_432_optimal_k_cases_turbsim_ref_outdata_432.mat,151422.79582378065,30126.92377142234,174525.60831399364
case_111_optimal_k_cases_turbsim_ref_outdata_111.mat,209963.0172979947,40054.31509770662,269303.6448272088
case_164_optimal_k_cases_turbsim_ref_outdata_164.mat,140314.28671691596,5513.490594584935,36551.98792045051
case_447_optimal_k_cases_turbsim_ref_outdata_447.mat,140942.73033816306,18494.886661299683,96985.06133920896
case_182_optimal_k_cases_turbsim_ref_outdata_182.mat,161698.1383596385,11012.458513355492,55180.4133656161
