,RootMyc1,YawBrMyp,YawBrMzp
case_367_optimal_k_cases_turbsim_sat_outdata_367.mat,147864.9354918174,8471.237351603384,53581.73744334883
case_36_optimal_k_cases_turbsim_sat_outdata_36.mat,192167.04753072525,28567.46006021629,196008.59417958977
case_381_optimal_k_cases_turbsim_sat_outdata_381.mat,221364.10140165206,35338.016447793205,231758.72507964587
case_211_optimal_k_cases_turbsim_sat_outdata_211.mat,151066.84436471443,11680.368827602397,48048.05797302743
case_264_optimal_k_cases_turbsim_sat_outdata_264.mat,159508.27362682438,18507.466741468957,127040.3804008646
case_152_optimal_k_cases_turbsim_sat_outdata_152.mat,138954.93855109523,11034.193176191115,39208.131267984645
case_119_optimal_k_cases_turbsim_sat_outdata_119.mat,146657.46614966044,11926.249829307268,47993.12725198572
case_404_optimal_k_cases_turbsim_sat_outdata_404.mat,144951.12363818916,6218.319406657757,42287.41114292615
case_127_optimal_k_cases_turbsim_sat_outdata_127.mat,153365.99195021283,12457.701223984615,46401.40130797912
case_54_optimal_k_cases_turbsim_sat_outdata_54.mat,175943.3700100207,25920.590053041793,184456.90115101152
case_187_optimal_k_cases_turbsim_sat_outdata_187.mat,147864.9354918174,8471.237351603384,53581.73744334883
case_321_optimal_k_cases_turbsim_sat_outdata_321.mat,194730.30101014953,31163.90583512223,207671.98660839617
case_38_optimal_k_cases_turbsim_sat_outdata_38.mat,153365.99195021283,12457.701223984615,46401.40130797912
case_354_optimal_k_cases_turbsim_sat_outdata_354.mat,161074.56922815397,18736.376187670656,128379.16131981024
case_222_optimal_k_cases_turbsim_sat_outdata_222.mat,207528.70973881157,31201.817783738923,210515.6338440113
case_43_optimal_k_cases_turbsim_sat_outdata_43.mat,144951.12363818916,6218.319406657757,42287.41114292615
case_269_optimal_k_cases_turbsim_sat_outdata_269.mat,138767.19153791643,5245.449275679814,38351.14069121886
case_257_optimal_k_cases_turbsim_sat_outdata_257.mat,137686.86645631262,5907.647932738533,37515.13629807672
case_409_optimal_k_cases_turbsim_sat_outdata_409.mat,145690.17566657145,6344.875093892122,43554.19083624569
case_161_optimal_k_cases_turbsim_sat_outdata_161.mat,139388.63540892687,11315.016037930725,36675.88122419086
case_442_optimal_k_cases_turbsim_sat_outdata_442.mat,138523.17632475027,5867.453409663964,39026.59421934207
case_437_optimal_k_cases_turbsim_sat_outdata_437.mat,137686.86645631262,5907.647932738533,37515.13629807672
case_21_optimal_k_cases_turbsim_sat_outdata_21.mat,199850.4859682657,28820.73097133778,197491.26301191468
case_114_optimal_k_cases_turbsim_sat_outdata_114.mat,194832.08990277137,30215.743151202376,208569.37022321278
case_245_optimal_k_cases_turbsim_sat_outdata_245.mat,138077.89241884465,11068.495191018663,37091.69730276033
case_230_optimal_k_cases_turbsim_sat_outdata_230.mat,145690.17566657145,6344.875093892122,43554.19083624569
case_425_optimal_k_cases_turbsim_sat_outdata_425.mat,138077.89241884465,11068.495191018663,37091.69730276033
case_106_optimal_k_cases_turbsim_sat_outdata_106.mat,148696.54160336248,6853.548988590535,53273.000646112945
case_18_optimal_k_cases_turbsim_sat_outdata_18.mat,206283.49193842226,29426.87240250347,202043.37867380856
case_138_optimal_k_cases_turbsim_sat_outdata_138.mat,186306.18059741697,29017.387239276166,195091.22303859316
case_173_optimal_k_cases_turbsim_sat_outdata_173.mat,138523.17632475027,5867.453409663964,39026.59421934207
case_450_optimal_k_cases_turbsim_sat_outdata_450.mat,162949.62643993698,19849.92485857959,130636.79222786821
case_82_optimal_k_cases_turbsim_sat_outdata_82.mat,138523.17632475027,5867.453409663964,39026.59421934207
case_195_optimal_k_cases_turbsim_sat_outdata_195.mat,194136.7198592454,33420.72486031468,224124.61835653894
case_63_optimal_k_cases_turbsim_sat_outdata_63.mat,176671.63168302822,27020.84125227823,174706.83672166805
case_346_optimal_k_cases_turbsim_sat_outdata_346.mat,137686.86645631262,5907.647932738533,37515.13629807672
case_378_optimal_k_cases_turbsim_sat_outdata_378.mat,220095.62635464483,36727.65803443826,231798.76391646173
case_333_optimal_k_cases_turbsim_sat_outdata_333.mat,168246.29628500625,25096.831623208353,180330.15767395843
case_276_optimal_k_cases_turbsim_sat_outdata_276.mat,227227.75216798755,36715.213923735355,233774.7131785138
case_248_optimal_k_cases_turbsim_sat_outdata_248.mat,141235.75300515883,5494.5918498665005,36052.907278596234
case_203_optimal_k_cases_turbsim_sat_outdata_203.mat,148481.79204890077,11849.693431695947,50233.255125474425
case_393_optimal_k_cases_turbsim_sat_outdata_393.mat,201113.86973766354,34421.304536685064,225274.94445224758
case_416_optimal_k_cases_turbsim_sat_outdata_416.mat,147463.8232878699,11880.486025203123,45104.52406688423
case_135_optimal_k_cases_turbsim_sat_outdata_135.mat,194546.19892661693,30895.955434317275,203661.74185822066
case_140_optimal_k_cases_turbsim_sat_outdata_140.mat,145690.17566657145,6344.875093892122,43554.19083624569
case_428_optimal_k_cases_turbsim_sat_outdata_428.mat,141235.75300515883,5494.5918498665005,36052.907278596234
case_198_optimal_k_cases_turbsim_sat_outdata_198.mat,215056.46097324626,32761.550537029776,216255.75749405206
case_16_optimal_k_cases_turbsim_sat_outdata_16.mat,148696.54160336248,6853.548988590535,53273.000646112945
case_74_optimal_k_cases_turbsim_sat_outdata_74.mat,138466.71607872122,5534.981882755682,38708.930467385166
case_375_optimal_k_cases_turbsim_sat_outdata_375.mat,230402.59140059247,36638.30282169647,239767.37139690405
case_95_optimal_k_cases_turbsim_sat_outdata_95.mat,148149.22460797272,12173.21433420535,55426.69513895848
case_300_optimal_k_cases_turbsim_sat_outdata_300.mat,218413.9688222744,33621.598623047794,223174.56222854723
case_290_optimal_k_cases_turbsim_sat_outdata_290.mat,151367.1115225285,7205.427675752382,47387.47585139452
case_4_optimal_k_cases_turbsim_sat_outdata_4.mat,148149.22460797272,12173.21433420535,55426.69513895848
case_196_optimal_k_cases_turbsim_sat_outdata_196.mat,148696.54160336248,6853.548988590535,53273.000646112945
case_35_optimal_k_cases_turbsim_sat_outdata_35.mat,144905.82737475767,11491.266775240489,50908.53105641517
case_57_optimal_k_cases_turbsim_sat_outdata_57.mat,171277.17273099817,26127.620939263623,188217.23491841654
case_330_optimal_k_cases_turbsim_sat_outdata_330.mat,187996.9691339493,30520.213742195654,205014.8652043622
case_345_optimal_k_cases_turbsim_sat_outdata_345.mat,175589.67130037642,25855.618244575362,180469.387455675
case_3_optimal_k_cases_turbsim_sat_outdata_3.mat,201025.23020591537,30125.26543242618,210706.67174472735
case_278_optimal_k_cases_turbsim_sat_outdata_278.mat,147864.9354918174,8471.237351603384,53581.73744334883
case_233_optimal_k_cases_turbsim_sat_outdata_233.mat,144714.04847986743,11737.563926432053,43066.26709911063
case_246_optimal_k_cases_turbsim_sat_outdata_246.mat,185138.89376003927,25698.91153916441,176039.4112024901
case_170_optimal_k_cases_turbsim_sat_outdata_170.mat,138466.06231095106,4904.390065525651,32026.54743563296
case_418_optimal_k_cases_turbsim_sat_outdata_418.mat,140991.40207763357,5789.882039635905,37663.41646028149
case_426_optimal_k_cases_turbsim_sat_outdata_426.mat,179372.80726601873,26808.0004815749,182614.94724489332
case_105_optimal_k_cases_turbsim_sat_outdata_105.mat,209281.1629634773,31269.48255873485,212299.61561409442
case_40_optimal_k_cases_turbsim_sat_outdata_40.mat,144403.05090650372,6231.478601580029,49339.77076282375
case_348_optimal_k_cases_turbsim_sat_outdata_348.mat,159022.79309754138,18760.506371711705,135019.05018860137
case_303_optimal_k_cases_turbsim_sat_outdata_303.mat,208209.97971720804,32125.743216685085,218042.85257765473
case_293_optimal_k_cases_turbsim_sat_outdata_293.mat,148481.79204890077,11849.693431695947,50233.255125474425
case_22_optimal_k_cases_turbsim_sat_outdata_22.mat,148481.79204890077,11849.693431695947,50233.255125474425
case_376_optimal_k_cases_turbsim_sat_outdata_376.mat,148696.54160336248,6853.548988590535,53273.000646112945
case_200_optimal_k_cases_turbsim_sat_outdata_200.mat,151367.1115225285,7205.427675752382,47387.47585139452
case_390_optimal_k_cases_turbsim_sat_outdata_390.mat,220297.69509607,36052.5320811793,229006.0038437959
case_59_optimal_k_cases_turbsim_sat_outdata_59.mat,140991.40207763357,5789.882039635905,37663.41646028149
case_275_optimal_k_cases_turbsim_sat_outdata_275.mat,148149.22460797272,12173.21433420535,55426.69513895848
case_108_optimal_k_cases_turbsim_sat_outdata_108.mat,204642.0978434383,32487.252131023157,211119.11941256028
case_143_optimal_k_cases_turbsim_sat_outdata_143.mat,144714.04847986743,11737.563926432053,43066.26709911063
case_415_optimal_k_cases_turbsim_sat_outdata_415.mat,147463.8232878699,11880.486025203123,45104.52406688423
case_136_optimal_k_cases_turbsim_sat_outdata_136.mat,139489.48346138324,5752.35645941257,40310.052118218744
case_60_optimal_k_cases_turbsim_sat_outdata_60.mat,177961.51311040207,26390.5294444833,187214.93742546494
case_267_optimal_k_cases_turbsim_sat_outdata_267.mat,154604.4579564779,16971.113670554987,126851.2891982669
case_382_optimal_k_cases_turbsim_sat_outdata_382.mat,148481.79204890077,11849.693431695947,50233.255125474425
case_212_optimal_k_cases_turbsim_sat_outdata_212.mat,151066.84436471443,11680.368827602397,48048.05797302743
case_81_optimal_k_cases_turbsim_sat_outdata_81.mat,150993.49437868103,17583.152975820554,123223.08501729659
case_259_optimal_k_cases_turbsim_sat_outdata_259.mat,138466.06231095106,4904.390065525651,32026.54743563296
case_407_optimal_k_cases_turbsim_sat_outdata_407.mat,139489.48346138324,5752.35645941257,40310.052118218744
case_124_optimal_k_cases_turbsim_sat_outdata_124.mat,144905.82737475767,11491.266775240489,50908.53105641517
case_439_optimal_k_cases_turbsim_sat_outdata_439.mat,138466.06231095106,4904.390065525651,32026.54743563296
case_151_optimal_k_cases_turbsim_sat_outdata_151.mat,138954.93855109523,11034.193176191115,39208.131267984645
case_2_optimal_k_cases_turbsim_sat_outdata_2.mat,155202.52819921082,7346.07687004719,56770.47831973034
case_79_optimal_k_cases_turbsim_sat_outdata_79.mat,138466.06231095106,4904.390065525651,32026.54743563296
case_189_optimal_k_cases_turbsim_sat_outdata_189.mat,210811.5580361721,33787.54220302727,221902.63621093324
case_98_optimal_k_cases_turbsim_sat_outdata_98.mat,147864.9354918174,8471.237351603384,53581.73744334883
case_364_optimal_k_cases_turbsim_sat_outdata_364.mat,148149.22460797272,12173.21433420535,55426.69513895848
case_281_optimal_k_cases_turbsim_sat_outdata_281.mat,146857.9183573687,7610.449319224261,59684.66595158585
case_5_optimal_k_cases_turbsim_sat_outdata_5.mat,148149.22460797272,12173.21433420535,55426.69513895848
case_311_optimal_k_cases_turbsim_sat_outdata_311.mat,144403.05090650372,6231.478601580029,49339.77076282375
case_15_optimal_k_cases_turbsim_sat_outdata_15.mat,208738.59519514063,31955.956398043443,200590.33365060017
case_254_optimal_k_cases_turbsim_sat_outdata_254.mat,138466.71607872122,5534.981882755682,38708.930467385166
case_221_optimal_k_cases_turbsim_sat_outdata_221.mat,144403.05090650372,6231.478601580029,49339.77076282375
case_434_optimal_k_cases_turbsim_sat_outdata_434.mat,138466.71607872122,5534.981882755682,38708.930467385166
case_117_optimal_k_cases_turbsim_sat_outdata_117.mat,199558.67415951044,31251.285866704162,209138.7537242294
case_96_optimal_k_cases_turbsim_sat_outdata_96.mat,222968.4009011,32711.938333464255,217004.8337396104
case_162_optimal_k_cases_turbsim_sat_outdata_162.mat,168916.06568167327,25090.071278098163,181205.07535261818
case_441_optimal_k_cases_turbsim_sat_outdata_441.mat,154041.4277536319,18352.037599759642,121224.42127070508
case_129_optimal_k_cases_turbsim_sat_outdata_129.mat,191896.2089384508,30486.803791341947,198776.26553053255
case_77_optimal_k_cases_turbsim_sat_outdata_77.mat,137686.86645631262,5907.647932738533,37515.13629807672
case_184_optimal_k_cases_turbsim_sat_outdata_184.mat,148149.22460797272,12173.21433420535,55426.69513895848
case_357_optimal_k_cases_turbsim_sat_outdata_357.mat,156179.05614487288,18242.41862673355,127337.67858031463
case_322_optimal_k_cases_turbsim_sat_outdata_322.mat,144714.04847986743,11737.563926432053,43066.26709911063
case_369_optimal_k_cases_turbsim_sat_outdata_369.mat,220498.56139387627,38688.117590962276,232883.51713659154
case_133_optimal_k_cases_turbsim_sat_outdata_133.mat,144951.12363818916,6218.319406657757,42287.41114292615
case_410_optimal_k_cases_turbsim_sat_outdata_410.mat,145690.17566657145,6344.875093892122,43554.19083624569
case_42_optimal_k_cases_turbsim_sat_outdata_42.mat,190192.948000284,27824.113372372165,193839.53308415925
case_178_optimal_k_cases_turbsim_sat_outdata_178.mat,138767.19153791643,5245.449275679814,38351.14069121886
case_146_optimal_k_cases_turbsim_sat_outdata_146.mat,147463.8232878699,11880.486025203123,45104.52406688423
case_270_optimal_k_cases_turbsim_sat_outdata_270.mat,162016.12254775854,19114.453196593433,130714.65953654068
case_395_optimal_k_cases_turbsim_sat_outdata_395.mat,144905.82737475767,11491.266775240489,50908.53105641517
case_20_optimal_k_cases_turbsim_sat_outdata_20.mat,151367.1115225285,7205.427675752382,47387.47585139452
case_205_optimal_k_cases_turbsim_sat_outdata_205.mat,148250.38606626843,12369.070277170558,51452.15505431034
case_373_optimal_k_cases_turbsim_sat_outdata_373.mat,151422.615145892,7269.216747350129,53629.74496595494
case_338_optimal_k_cases_turbsim_sat_outdata_338.mat,141235.75300515883,5494.5918498665005,36052.907278596234
case_296_optimal_k_cases_turbsim_sat_outdata_296.mat,148250.38606626843,12369.070277170558,51452.15505431034
case_306_optimal_k_cases_turbsim_sat_outdata_306.mat,202654.1385708551,31849.980710257998,217707.941569938
case_8_optimal_k_cases_turbsim_sat_outdata_8.mat,147864.9354918174,8471.237351603384,53581.73744334883
case_39_optimal_k_cases_turbsim_sat_outdata_39.mat,184977.80437900271,27355.832885558364,192604.94697555626
case_37_optimal_k_cases_turbsim_sat_outdata_37.mat,153365.99195021283,12457.701223984615,46401.40130797912
case_100_optimal_k_cases_turbsim_sat_outdata_100.mat,146857.9183573687,7610.449319224261,59684.66595158585
case_423_optimal_k_cases_turbsim_sat_outdata_423.mat,183939.61406684597,26122.489795639576,183913.58261474626
case_175_optimal_k_cases_turbsim_sat_outdata_175.mat,137696.69290609282,11855.724638077767,35364.917336199884
case_243_optimal_k_cases_turbsim_sat_outdata_243.mat,181229.6446460418,25804.85625491895,179083.88720328754
case_208_optimal_k_cases_turbsim_sat_outdata_208.mat,146657.46614966044,11926.249829307268,47993.12725198572
case_398_optimal_k_cases_turbsim_sat_outdata_398.mat,153365.99195021283,12457.701223984615,46401.40130797912
case_236_optimal_k_cases_turbsim_sat_outdata_236.mat,147463.8232878699,11880.486025203123,45104.52406688423
case_55_optimal_k_cases_turbsim_sat_outdata_55.mat,147463.8232878699,11880.486025203123,45104.52406688423
case_340_optimal_k_cases_turbsim_sat_outdata_340.mat,139388.63540892687,11315.016037930725,36675.88122419086
case_335_optimal_k_cases_turbsim_sat_outdata_335.mat,138077.89241884465,11068.495191018663,37091.69730276033
case_193_optimal_k_cases_turbsim_sat_outdata_193.mat,151422.615145892,7269.216747350129,53629.74496595494
case_327_optimal_k_cases_turbsim_sat_outdata_327.mat,194398.17971538147,30286.751665581152,211536.30595895826
case_9_optimal_k_cases_turbsim_sat_outdata_9.mat,207532.8625553701,30774.107962238217,204887.9009422459
case_289_optimal_k_cases_turbsim_sat_outdata_289.mat,151367.1115225285,7205.427675752382,47387.47585139452
case_319_optimal_k_cases_turbsim_sat_outdata_319.mat,145690.17566657145,6344.875093892122,43554.19083624569
case_17_optimal_k_cases_turbsim_sat_outdata_17.mat,148696.54160336248,6853.548988590535,53273.000646112945
case_352_optimal_k_cases_turbsim_sat_outdata_352.mat,138523.17632475027,5867.453409663964,39026.59421934207
case_75_optimal_k_cases_turbsim_sat_outdata_75.mat,171785.9262545642,25394.939718224137,173330.96006747088
case_181_optimal_k_cases_turbsim_sat_outdata_181.mat,155202.52819921082,7346.07687004719,56770.47831973034
case_94_optimal_k_cases_turbsim_sat_outdata_94.mat,148149.22460797272,12173.21433420535,55426.69513895848
case_444_optimal_k_cases_turbsim_sat_outdata_444.mat,165175.15776006613,17288.225554910357,127256.85168856003
case_167_optimal_k_cases_turbsim_sat_outdata_167.mat,137686.86645631262,5907.647932738533,37515.13629807672
case_159_optimal_k_cases_turbsim_sat_outdata_159.mat,174774.91857539464,25715.010265252447,170198.2444538351
case_112_optimal_k_cases_turbsim_sat_outdata_112.mat,148481.79204890077,11849.693431695947,50233.255125474425
case_431_optimal_k_cases_turbsim_sat_outdata_431.mat,139388.63540892687,11315.016037930725,36675.88122419086
case_224_optimal_k_cases_turbsim_sat_outdata_224.mat,144951.12363818916,6218.319406657757,42287.41114292615
case_251_optimal_k_cases_turbsim_sat_outdata_251.mat,139388.63540892687,11315.016037930725,36675.88122419086
case_83_optimal_k_cases_turbsim_sat_outdata_83.mat,138523.17632475027,5867.453409663964,39026.59421934207
case_314_optimal_k_cases_turbsim_sat_outdata_314.mat,144951.12363818916,6218.319406657757,42287.41114292615
case_284_optimal_k_cases_turbsim_sat_outdata_284.mat,151422.615145892,7269.216747350129,53629.74496595494
case_361_optimal_k_cases_turbsim_sat_outdata_361.mat,155202.52819921082,7346.07687004719,56770.47831973034
case_62_optimal_k_cases_turbsim_sat_outdata_62.mat,138954.93855109523,11034.193176191115,39208.131267984645
case_154_optimal_k_cases_turbsim_sat_outdata_154.mat,138077.89241884465,11068.495191018663,37091.69730276033
case_121_optimal_k_cases_turbsim_sat_outdata_121.mat,151066.84436471443,11680.368827602397,48048.05797302743
case_402_optimal_k_cases_turbsim_sat_outdata_402.mat,206243.7186189913,33959.88170066719,222197.37925117256
case_449_optimal_k_cases_turbsim_sat_outdata_449.mat,138767.19153791643,5245.449275679814,38351.14069121886
case_217_optimal_k_cases_turbsim_sat_outdata_217.mat,153365.99195021283,12457.701223984615,46401.40130797912
case_387_optimal_k_cases_turbsim_sat_outdata_387.mat,211326.99260641038,35686.54287583912,234510.65119021336
case_19_optimal_k_cases_turbsim_sat_outdata_19.mat,151367.1115225285,7205.427675752382,47387.47585139452
case_229_optimal_k_cases_turbsim_sat_outdata_229.mat,145690.17566657145,6344.875093892122,43554.19083624569
case_262_optimal_k_cases_turbsim_sat_outdata_262.mat,138523.17632475027,5867.453409663964,39026.59421934207
case_199_optimal_k_cases_turbsim_sat_outdata_199.mat,151367.1115225285,7205.427675752382,47387.47585139452
case_24_optimal_k_cases_turbsim_sat_outdata_24.mat,193899.1098643033,28605.092206208847,198362.53294232526
case_374_optimal_k_cases_turbsim_sat_outdata_374.mat,151422.615145892,7269.216747350129,53629.74496595494
case_46_optimal_k_cases_turbsim_sat_outdata_46.mat,139489.48346138324,5752.35645941257,40310.052118218744
case_301_optimal_k_cases_turbsim_sat_outdata_301.mat,151066.84436471443,11680.368827602397,48048.05797302743
case_291_optimal_k_cases_turbsim_sat_outdata_291.mat,221663.04033853195,33683.814321119935,221410.05252258366
case_277_optimal_k_cases_turbsim_sat_outdata_277.mat,147864.9354918174,8471.237351603384,53581.73744334883
case_249_optimal_k_cases_turbsim_sat_outdata_249.mat,174391.36673007597,24414.701690419355,177660.24408358862
case_202_optimal_k_cases_turbsim_sat_outdata_202.mat,148481.79204890077,11849.693431695947,50233.255125474425
case_392_optimal_k_cases_turbsim_sat_outdata_392.mat,151066.84436471443,11680.368827602397,48048.05797302743
case_134_optimal_k_cases_turbsim_sat_outdata_134.mat,144951.12363818916,6218.319406657757,42287.41114292615
case_417_optimal_k_cases_turbsim_sat_outdata_417.mat,190006.45679173857,29837.11574932395,211030.04653566104
case_141_optimal_k_cases_turbsim_sat_outdata_141.mat,188709.7130780648,28314.918493952253,196864.866086387
case_429_optimal_k_cases_turbsim_sat_outdata_429.mat,177927.07271345358,25314.62725732626,179955.48380643298
case_194_optimal_k_cases_turbsim_sat_outdata_194.mat,151422.615145892,7269.216747350129,53629.74496595494
case_51_optimal_k_cases_turbsim_sat_outdata_51.mat,181100.3405828027,27428.33687695412,188115.29674815293
case_33_optimal_k_cases_turbsim_sat_outdata_33.mat,191815.43985839075,29380.71240873339,192485.9388108897
case_347_optimal_k_cases_turbsim_sat_outdata_347.mat,137686.86645631262,5907.647932738533,37515.13629807672
case_379_optimal_k_cases_turbsim_sat_outdata_379.mat,151367.1115225285,7205.427675752382,47387.47585139452
case_332_optimal_k_cases_turbsim_sat_outdata_332.mat,138954.93855109523,11034.193176191115,39208.131267984645
case_244_optimal_k_cases_turbsim_sat_outdata_244.mat,138077.89241884465,11068.495191018663,37091.69730276033
case_231_optimal_k_cases_turbsim_sat_outdata_231.mat,180973.6596702607,30211.579860589907,201369.46142669712
case_48_optimal_k_cases_turbsim_sat_outdata_48.mat,179391.97403778697,26083.939018762798,186034.06856796573
case_107_optimal_k_cases_turbsim_sat_outdata_107.mat,148696.54160336248,6853.548988590535,53273.000646112945
case_424_optimal_k_cases_turbsim_sat_outdata_424.mat,138077.89241884465,11068.495191018663,37091.69730276033
case_139_optimal_k_cases_turbsim_sat_outdata_139.mat,145690.17566657145,6344.875093892122,43554.19083624569
case_172_optimal_k_cases_turbsim_sat_outdata_172.mat,138523.17632475027,5867.453409663964,39026.59421934207
case_71_optimal_k_cases_turbsim_sat_outdata_71.mat,139388.63540892687,11315.016037930725,36675.88122419086
case_223_optimal_k_cases_turbsim_sat_outdata_223.mat,144951.12363818916,6218.319406657757,42287.41114292615
case_268_optimal_k_cases_turbsim_sat_outdata_268.mat,138767.19153791643,5245.449275679814,38351.14069121886
