,RootMyc1,YawBrMyp,YawBrMzp
case_346_optimal_k_cases_turbsim_wu_outdata_346.mat,138591.96891815515,4592.600761929524,33363.12819520117
case_295_optimal_k_cases_turbsim_wu_outdata_295.mat,151670.56842253258,11812.019719266378,49574.5320900834
case_324_optimal_k_cases_turbsim_wu_outdata_324.mat,181096.89713450192,36377.66689437719,228973.79963132602
case_406_optimal_k_cases_turbsim_wu_outdata_406.mat,139489.48346138324,5752.35645941257,40310.052118218744
case_216_optimal_k_cases_turbsim_wu_outdata_216.mat,184828.3428787514,37272.97513608278,238394.79622586505
case_68_optimal_k_cases_turbsim_wu_outdata_68.mat,143033.36863666357,5814.1687590730635,34853.64255596079
case_107_optimal_k_cases_turbsim_wu_outdata_107.mat,154267.30504663987,6772.203924974448,51147.2264770004
case_165_optimal_k_cases_turbsim_wu_outdata_165.mat,138058.65457682812,10877.062972063772,60168.378566112566
case_184_optimal_k_cases_turbsim_wu_outdata_184.mat,153553.58816311054,11796.66063683416,52150.51373084276
case_201_optimal_k_cases_turbsim_wu_outdata_201.mat,209256.03349394418,39692.52633801655,265073.72861382755
case_411_optimal_k_cases_turbsim_wu_outdata_411.mat,189136.82036745988,43180.382234964534,187904.21475326366
case_8_optimal_k_cases_turbsim_wu_outdata_8.mat,153954.26793641207,8394.442350532476,50906.52358515983
case_333_optimal_k_cases_turbsim_wu_outdata_333.mat,163244.07258338225,30936.74101168957,200219.15129823636
case_282_optimal_k_cases_turbsim_wu_outdata_282.mat,256633.54152031275,59365.11063267578,284353.77918840304
case_351_optimal_k_cases_turbsim_wu_outdata_351.mat,146767.34450427545,20311.575550817528,123386.36058444163
case_85_optimal_k_cases_turbsim_wu_outdata_85.mat,139514.8127378293,5646.957566842637,34834.03844439034
case_109_optimal_k_cases_turbsim_wu_outdata_109.mat,155244.3450277456,7127.846668339995,45597.568745804485
case_35_optimal_k_cases_turbsim_wu_outdata_35.mat,149331.97219500193,11212.326294787985,48192.742293235206
case_263_optimal_k_cases_turbsim_wu_outdata_263.mat,139752.2696697877,5717.084224033098,34871.79506443439
case_193_optimal_k_cases_turbsim_wu_outdata_193.mat,157126.32589745536,11355.354441425128,51113.25210550818
case_218_optimal_k_cases_turbsim_wu_outdata_218.mat,156209.09938811124,12312.604755229735,48214.248875658115
case_408_optimal_k_cases_turbsim_wu_outdata_408.mat,208584.8916916999,44152.96494233967,206598.0554656212
case_172_optimal_k_cases_turbsim_wu_outdata_172.mat,139851.4267796704,5730.065148286455,34889.656398701685
case_82_optimal_k_cases_turbsim_wu_outdata_82.mat,139880.31335895183,5731.922586948227,34926.04168672655
case_32_optimal_k_cases_turbsim_wu_outdata_32.mat,154776.12992101544,11253.10174481971,46118.971176253006
case_110_optimal_k_cases_turbsim_wu_outdata_110.mat,155244.3450277456,7127.846668339995,45597.568745804485
case_348_optimal_k_cases_turbsim_wu_outdata_348.mat,151194.37531062955,22860.470083162007,134795.02890531893
case_313_optimal_k_cases_turbsim_wu_outdata_313.mat,147303.1222266417,6135.361277104159,41838.611622820295
case_431_optimal_k_cases_turbsim_wu_outdata_431.mat,139388.63540892687,11315.016037930725,36675.88122419086
case_221_optimal_k_cases_turbsim_wu_outdata_221.mat,147132.70441689534,6277.224613859983,48637.06011299157
case_243_optimal_k_cases_turbsim_wu_outdata_243.mat,163077.8929687471,29347.983080322592,168161.24143644562
case_390_optimal_k_cases_turbsim_wu_outdata_390.mat,241355.06561407947,57830.45541746516,255405.48022767578
case_129_optimal_k_cases_turbsim_wu_outdata_129.mat,145585.9250870903,15332.358315093552,65028.611767101
case_371_optimal_k_cases_turbsim_wu_outdata_371.mat,146857.9183573687,7610.449319224261,59684.66595158585
case_69_optimal_k_cases_turbsim_wu_outdata_69.mat,139131.84949868254,7403.502502939762,46838.094638965034
case_152_optimal_k_cases_turbsim_wu_outdata_152.mat,141157.42063976408,10920.321452339316,37630.48950893097
case_428_optimal_k_cases_turbsim_wu_outdata_428.mat,141235.75300515883,5494.5918498665005,36052.907278596234
case_238_optimal_k_cases_turbsim_wu_outdata_238.mat,144152.56582760296,11227.099621986548,35693.01637785962
case_6_optimal_k_cases_turbsim_wu_outdata_6.mat,143702.9485191667,7604.102824748985,67472.0857418481
case_389_optimal_k_cases_turbsim_wu_outdata_389.mat,146657.46614966044,11926.249829307268,47993.12725198572
case_368_optimal_k_cases_turbsim_wu_outdata_368.mat,147864.9354918174,8471.237351603384,53581.73744334883
case_130_optimal_k_cases_turbsim_wu_outdata_130.mat,147458.36888717918,6297.518117811218,48609.29358579766
case_366_optimal_k_cases_turbsim_wu_outdata_366.mat,265621.28752704593,66639.82386121392,293012.70303429983
case_387_optimal_k_cases_turbsim_wu_outdata_387.mat,242937.67433142115,62595.89342362206,255362.67843666422
case_444_optimal_k_cases_turbsim_wu_outdata_444.mat,146472.426772212,23710.779056633295,101550.20471870489
case_254_optimal_k_cases_turbsim_wu_outdata_254.mat,140310.4533434398,5513.498135432641,36553.09804597853
case_33_optimal_k_cases_turbsim_wu_outdata_33.mat,144254.38492657294,12609.794772787887,51764.031254300506
case_83_optimal_k_cases_turbsim_wu_outdata_83.mat,139880.31335895183,5731.922586948227,34926.04168672655
case_236_optimal_k_cases_turbsim_wu_outdata_236.mat,150951.0700734132,11533.294590241461,41942.25035871916
case_426_optimal_k_cases_turbsim_wu_outdata_426.mat,176815.40732652618,32321.181007800707,154913.51281446987
case_304_optimal_k_cases_turbsim_wu_outdata_304.mat,147452.91403725374,11272.502917197688,49066.136884780404
case_127_optimal_k_cases_turbsim_wu_outdata_127.mat,156372.0877700731,12298.56546983266,48309.097477902375
case_34_optimal_k_cases_turbsim_wu_outdata_34.mat,149331.97219500193,11212.326294787985,48192.742293235206
case_84_optimal_k_cases_turbsim_wu_outdata_84.mat,138263.8624104837,7809.264792969219,58655.13419447075
case_145_optimal_k_cases_turbsim_wu_outdata_145.mat,151096.3008527827,11495.430916183559,41746.90885075184
case_104_optimal_k_cases_turbsim_wu_outdata_104.mat,157604.59042999934,11334.138928720462,51063.6328499696
case_5_optimal_k_cases_turbsim_wu_outdata_5.mat,154397.21013198016,11794.672287316289,51811.59783817893
case_24_optimal_k_cases_turbsim_wu_outdata_24.mat,146749.22553902894,14436.448805255888,67477.66287544613
case_94_optimal_k_cases_turbsim_wu_outdata_94.mat,154149.5283586332,11799.200585752258,51894.39198153082
case_187_optimal_k_cases_turbsim_wu_outdata_187.mat,153727.64033184465,8320.901471006982,51308.42583076675
case_166_optimal_k_cases_turbsim_wu_outdata_166.mat,139349.4175333689,4700.776398567382,31913.963235935033
case_345_optimal_k_cases_turbsim_wu_outdata_345.mat,161273.17609454278,32321.084112453354,191110.6092565403
case_296_optimal_k_cases_turbsim_wu_outdata_296.mat,151670.56842253258,11812.019719266378,49574.5320900834
case_277_optimal_k_cases_turbsim_wu_outdata_277.mat,151647.24311544202,8406.532316379147,51786.75061098354
case_23_optimal_k_cases_turbsim_wu_outdata_23.mat,152751.07708608205,11830.865830907222,48424.59093674046
case_93_optimal_k_cases_turbsim_wu_outdata_93.mat,150125.45075542002,15321.51839996427,67750.31682343167
case_405_optimal_k_cases_turbsim_wu_outdata_405.mat,226778.63370807335,52729.66947234637,219000.33623554165
case_215_optimal_k_cases_turbsim_wu_outdata_215.mat,148711.3980384012,11208.137507625408,48405.19601741873
case_327_optimal_k_cases_turbsim_wu_outdata_327.mat,181430.81234112714,36772.93718027958,239934.47058839453
case_329_optimal_k_cases_turbsim_wu_outdata_329.mat,143336.3149422431,5868.775013555194,36186.60449727864
case_171_optimal_k_cases_turbsim_wu_outdata_171.mat,138102.34992393153,6480.052532819951,44238.46275686904
case_10_optimal_k_cases_turbsim_wu_outdata_10.mat,152601.98339004238,7650.871919999283,57104.057992086724
case_190_optimal_k_cases_turbsim_wu_outdata_190.mat,151919.72062761124,7572.620207995251,57589.08282848663
case_279_optimal_k_cases_turbsim_wu_outdata_279.mat,248090.4572093819,67533.11643421455,274360.8890970666
case_298_optimal_k_cases_turbsim_wu_outdata_298.mat,150112.58623800724,11868.091030069007,46402.34513286752
case_113_optimal_k_cases_turbsim_wu_outdata_113.mat,152691.16063764764,11830.350183092387,48417.24306460598
case_168_optimal_k_cases_turbsim_wu_outdata_168.mat,137253.82081307154,7100.003530497145,44480.13473508777
case_330_optimal_k_cases_turbsim_wu_outdata_330.mat,185206.5137236252,37886.12161820221,222861.95203538195
case_17_optimal_k_cases_turbsim_wu_outdata_17.mat,154344.74745353442,6785.152348853334,51086.83400158391
case_189_optimal_k_cases_turbsim_wu_outdata_189.mat,222533.36518183685,45786.06821909384,282895.8699111155
case_202_optimal_k_cases_turbsim_wu_outdata_202.mat,152354.0069058968,11833.773486523849,48660.917010865385
case_412_optimal_k_cases_turbsim_wu_outdata_412.mat,144714.04847986743,11737.563926432053,43066.26709911063
case_260_optimal_k_cases_turbsim_wu_outdata_260.mat,139753.8668558504,4428.379837075781,29669.114309614983
case_79_optimal_k_cases_turbsim_wu_outdata_79.mat,139886.1852822002,4413.274115940087,29736.177534722825
case_281_optimal_k_cases_turbsim_wu_outdata_281.mat,150297.62912573942,7581.562396844382,58211.68698599193
case_352_optimal_k_cases_turbsim_wu_outdata_352.mat,139290.71772780857,6023.335581849543,34976.94545017472
case_151_optimal_k_cases_turbsim_wu_outdata_151.mat,141157.42063976408,10920.321452339316,37630.48950893097
case_309_optimal_k_cases_turbsim_wu_outdata_309.mat,212912.82851373564,43006.71647863053,264877.73458429525
case_92_optimal_k_cases_turbsim_wu_outdata_92.mat,162057.1502513253,10976.26971587132,54958.63521786519
case_22_optimal_k_cases_turbsim_wu_outdata_22.mat,152751.07708608205,11830.865830907222,48424.59093674046
case_133_optimal_k_cases_turbsim_wu_outdata_133.mat,148245.59240333494,6301.62552608712,42324.756191988476
case_259_optimal_k_cases_turbsim_wu_outdata_259.mat,139753.8668558504,4428.379837075781,29669.114309614983
case_449_optimal_k_cases_turbsim_wu_outdata_449.mat,138767.19153791643,5245.449275679814,38351.14069121886
case_432_optimal_k_cases_turbsim_wu_outdata_432.mat,172598.9702320915,33582.614984934924,161517.49104920065
case_222_optimal_k_cases_turbsim_wu_outdata_222.mat,200002.9772375729,39500.85226562273,229338.82659088253
case_310_optimal_k_cases_turbsim_wu_outdata_310.mat,146514.9082692272,6298.570476616374,48579.511719419475
case_148_optimal_k_cases_turbsim_wu_outdata_148.mat,144319.6392324432,11217.265640898366,36039.6627305112
case_95_optimal_k_cases_turbsim_wu_outdata_95.mat,154149.5283586332,11799.200585752258,51894.39198153082
case_25_optimal_k_cases_turbsim_wu_outdata_25.mat,153178.621965845,7532.224079004945,48452.081169960766
case_372_optimal_k_cases_turbsim_wu_outdata_372.mat,256443.087689009,64315.41660049493,273259.1653978315
