 Case_ID  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn     Fst        Fst        Fst        Fst       Fst       Fst          Fst         Fst       Fst     Fst    Fst   InflowWind  InflowWind  ServoDyn  ServoDyn                             ServoDyn                             ServoDyn    ServoDyn  ServoDyn  ServoDyn  ServoDyn 
           DrTrDOF    EdgeDOF    FlapDOF1   FlapDOF2    GenDOF   PtfmHvDOF   PtfmPDOF   PtfmRDOF  PtfmSgDOF  PtfmSwDOF   PtfmYDOF   TeetDOF    TwFADOF1   TwFADOF2   TwSSDOF1   TwSSDOF2    YawDOF   CalcSteady  CompAero  CompElast  CompHydro  CompIce  CompInflow  CompMooring  CompServo  CompSub    DT    TMax  HWindSpeed   WindType   AfCMode    CCMode                            DLL_FileName                          DLL_InFile  HSSBrMode   PCMode   VSContrl   YCMode  
    22      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      11.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    23      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      12.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    24      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      12.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    25      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      13.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    26      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      13.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    27      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      14.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    28      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      14.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    29      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      15.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    30      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      15.5         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    31      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      16.0         1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
